상호명,도로명주소,지번주소,위도,경도
금강산노래광장,강원특별자치도 동해시 송정로 11,강원특별자치도 동해시 송정동 747,37.49526467,129.1275251
엔젤,강원특별자치도 정선군 남면 민둥산로 175-13,강원특별자치도 정선군 남면 무릉리 366-1,37.25978833,128.7920893
누베헤어,강원특별자치도 춘천시 스포츠타운길 460,강원특별자치도 춘천시 삼천동 796,37.86774398,127.7076531
공차,강원특별자치도 원주시 지정면 신지정로 211,강원특별자치도 원주시 지정면 가곡리 1350-1,37.37418887,127.8727126
행운쉼터,강원특별자치도 인제군 북면 금강로 751,강원특별자치도 인제군 북면 월학리 820-5,38.1718706,128.2070865
만월,강원특별자치도 동해시 한섬로 38,강원특별자치도 동해시 천곡동 1044-6,37.51975114,129.1079384
계곡사랑,강원특별자치도 인제군 인제읍 하추로 603,강원특별자치도 인제군 인제읍 하추리 46,38.03541642,128.3124746
회오리감자점,강원특별자치도 평창군 대관령면 경강로 5721,강원특별자치도 평창군 대관령면 횡계리 14-111,37.68515988,128.7544936
태능갈비,강원특별자치도 인제군 북면 원통로147번길 23,강원특별자치도 인제군 북면 원통리 731-11,38.12264857,128.2025335
고은헤어,강원특별자치도 원주시 봉바위길 23,강원특별자치도 원주시 무실동 1831-12,37.3317058,127.9327513
박차닭갈비,강원특별자치도 원주시 천매봉길 138,강원특별자치도 원주시 단구동 1524-7,37.32708919,127.9445473
케이비매니지먼트,강원특별자치도 원주시 양지로 64-1,강원특별자치도 원주시 반곡동 1899-5,37.32647048,127.9852263
CU강릉교동,강원특별자치도 강릉시 강릉대로121번길 6,강원특별자치도 강릉시 교동 964-6,37.75659736,128.8836512
황금룡문막,강원특별자치도 원주시 문막읍 문막시장1길 52-14,강원특별자치도 원주시 문막읍 문막리 241-9,37.30632215,127.8150801
강원개발부동산컨설팅,강원특별자치도 고성군 토성면 토성로 19,강원특별자치도 고성군 토성면 봉포리 19,38.24922247,128.5668866
발리노래궁,강원특별자치도 동해시 대학로 10,강원특별자치도 동해시 천곡동 1064,37.52126459,129.1137189
돼지꿈꾼날,강원특별자치도 삼척시 원덕읍 삼척로 424,강원특별자치도 삼척시 원덕읍 호산리 257-1,37.17539739,129.3369442
서화아트,강원특별자치도 춘천시 스무숲1길 32-15,강원특별자치도 춘천시 석사동 913-5,37.84941531,127.7499509
시크릿,강원특별자치도 화천군 상서면 다파로 34,강원특별자치도 화천군 상서면 다목리 512-4,38.17512386,127.5372587
올리브펜션,강원특별자치도 춘천시 남면 바깥말길 115-16,강원특별자치도 춘천시 남면 한덕리 367-22,37.68269447,127.6213532
먹자골,강원특별자치도 춘천시 춘천로281번길 6,강원특별자치도 춘천시 후평동 686,37.88100245,127.7443648
대관령진흥사업단,강원특별자치도 평창군 대관령면 올림픽로 108-7,강원특별자치도 평창군 대관령면 횡계리 345-62,37.66986719,128.7038051
젊은부자,강원특별자치도 강릉시 보래미하길65번길 4,강원특별자치도 강릉시 포남동 1058-5,37.77512642,128.9126703
