광역자치단체명,축제명,축제유형,개최기간,개최장소
서울특별시,서울특별시드럼페스티벌,문화예술,5.25~5.26,노들섬
서울특별시,서울특별시뮤직페스티벌,문화예술,9.27~9.29,노들섬
서울특별시,서울특별시국악축제,전통역사,9월 중,미정
서울특별시,서울특별시페스타 2024,문화예술,5.1.~5.6.,서울특별시광장_ 광화문광장 등 서울특별시 전역
서울특별시,서울특별시 바비큐 페스티벌,기타,5.4.~5.5.,노을공원
서울특별시,2024년 추석 농수특산물 서울특별시장터,특산물,9.2~9.7중 3일간 예정,서울특별시광장
서울특별시,제18회 서울특별시안전한마당,안전문화,05.02.~05.04.,여의도공원
서울특별시,2024 서울특별시세계도시문화축제,문화예술,5.25.~26,광화문광장 및 청계광장 일원
서울특별시,서울특별시라이트 한강 빛섬축제 ,문화예술,10.5.~10.13.,여의도한강공원
서울특별시,서울특별시라이트 광화문,문화예술,24. 12. 20. ~ '25. 1. 12.,광화문 및 광화문광장
서울특별시,차없는 잠수교 뚜벅뚜벅 축제,문화예술,5.5.~6.23./9.1.~10.27.,잠수교 및 반포한강공원 일대
서울특별시,한강서래섬유채꽃축제,생태자연,05.10.~05.19.,반포한강공원 서래섬
서울특별시,한강종이비행기축제,기타,09.07.,여의도한강공원
서울특별시,2024 서울특별시대공원 벚꽃축제,생태자연,4월 초,호숫가둘레길
서울특별시,제24회 서울특별시대공원 장미원축제,생태자연,5.24.~6.9.,테마가든
서울특별시,제9회 동물원 밖 동물원,문화예술,10~12월,공원 일대
서울특별시,제13회 강남페스티벌,문화예술,9월중,코엑스_ 영동대로_ 마루공원 등
서울특별시,제5회강남디자인위크,문화예술,5.24.~5.28.,신사동 등
서울특별시,제4회 강남 G-KPOP 콘서트,문화예술,5월중,신사 한강공원(잠원지구)
서울특별시,제29회 강동선사문화축제,전통역사,10.11.~10.13.,서울특별시 암사동 유적 일원
서울특별시,419혁명국민문화제,전통역사,4.12.~4.19.,강북구 일원
서울특별시,천변라이프 강북페스타2024,문화예술,5.31.~6.2.,우이천 일대
서울특별시,제2회 맥주축제,기타(시장활성화),9월중 2일간,강북구 일대
서울특별시,제2회 크리스마스 마켓,기타(상권활성화),12.20~12.22,수유역 상권일대
서울특별시,제2회 미아달빛시장,기타(상권활성화),10월~11월중 2일간,미아사거리역 상권일대
서울특별시,제2회 광진청년문화Street페스티벌,문화예술,9월 중,능동로 일대
서울특별시,제2회 금천 청년축제,기타,09.28.(예정),관내(미정)
서울특별시,제6회 금천과학축제,문화예술(과학),09.06.~09.07.,금천구청 일대
서울특별시,2024 금천하모니축제,문화예술,05.10.~05.12.,구청광장
서울특별시,2024년 제7회 정조대왕 능행차 공동재현 행사,전통역사,10.05-10.06.,금천구청 광장 및 시흥행궁터 일대(시흥5동)
서울특별시,감로천 축제,기타(주민화합 등),10.19.,감로천생태공원
서울특별시,제4회 금천패션영화제,문화예술,11.01.~11.04.,금천구 가산동 일원(롯데시네마 가산디지털점)
서울특별시,노원 수제맥주축제,기타,5.31.~6.1.,화랑대 철도공원
서울특별시,노원달빛산책,문화예술,10.11.~11.3.,당현천 일원
서울특별시,댄싱노원,문화예술,9.28.~9.29.,노해로 일원
서울특별시,우이천 벚꽃 축제,문화예술,04.03.~04.07.,우이천
서울특별시,제12회 도봉구 등 축제,문화예술,10. 4. ~ 10. 12.,평화문화진지 및 다락원체육공원일대
서울특별시,동대문구 봄꽃축제,생태자연,3.30.~3.31.,중랑천 제1체육공원 및 장안벚꽃로
서울특별시,선농대제,전통역사,4.20.,선농단
서울특별시,청룡문화제,전통역사,10.26.,용두근린공원
서울특별시 ,제21회 마포음식문화축제 ,기타(주민화합 등),10월 중,도화소어린이공원 
서울특별시,하늘길 페스타,기타(상권활성화),10. 4.~10.5.,합정동 
서울특별시,제4회 상암동 통통통 물통통 마을축제,기타,7월중(1일),구룡근린공원
서울특별시,2024년 연남동주민화합대축제,기타(주민화합),10월 중,경의선숲길공원 연남구간 끝자락
서울특별시,서대문 벚꽃 축제,문화예술,4월중,홍제천_ 안산일대
서울특별시,서대문독립축제,문화예술_ 전통역사,8월중,서대문형무소역사관
서울특별시,신촌글로벌대학문화축제,문화예술,9.25~9.27,신촌 연세로 일대
서울특별시,신촌카운트다운 콘서트,문화예술,12.31.,신촌 스타광장
서울특별시,봄밤의 클래식 축제,문화예술,4월중,방배뒷벌공원
서울특별시,서초뮤직앤아트페스티벌,문화예술,6월중,고속터미널
서울특별시,2024 서리풀페스티벌,문화예술,9월중,반포대로일대
서울특별시,제18회 영등포 여의도 봄꽃축제,문화예술_ 생태자연,3월말 중,여의동
서울특별시,선유로운 축제,문화예술,5월 중,양평2동
서울특별시,안양천 썸머 페스티벌,생태자연,7월말~8월초,문래동
서울특별시,선유로운 축제,문화예술,9~10월 중,양평2동
서울특별시,안양천 수변문화축제,문화예술_ 생태자연,9월~10월 중,안양천
서울특별시,2024 이태원 지구촌 축제,문화예술,9월 중,이태원관광특구 일대
서울특별시,제42회 남이장군사당제,전통역사,11.1.~11.5.,용문동 일원
서울특별시,용산 문화유산 야행,전통역사,9.27.~9.28.,효창공원
서울특별시,인사동 엔틱 & 아트페어,전통역사,8.~10.,인사동 일대
